fecha,pasajerosPuerto,pasajerosAeropuerto,nacionalesAeropuerto,internacionalesAeropuerto
12/2016,148697,2999613,847287,2152326
11/2016,187176,3041678,920701,2120977
10/2016,466420,4016823,1011802,3005021
09/2016,498995,4358426,1095427,3262999
08/2016,718860,4698399,1113006,3585393
07/2016,610803,4666420,1143050,3523370
06/2016,435618,4195910,1098052,3097858
05/2016,355359,4047320,1065716,2981604
04/2016,307469,3619083,996996,2622087
03/2016,183227,3299911,972268,2327643
02/2016,123515,2670651,799700,1870951
01/2016,113882,2516114,741517,1774597
12/2015,140154,2602785,776737,1826048
11/2015,242428,2786882,819171,1967711
10/2015,404247,3621167,934936,2686231
09/2015,403582,3971013,994185,2976828
08/2015,621438,4397742,1044979,3352763
07/2015,466426,4256454,1065680,3190774
06/2015,393350,3813810,958235,2855575
05/2015,369263,3603049,932369,2670680
04/2015,286068,3328134,890952,2437182
03/2015,155252,2890431,841102,2049329
02/2015,99425,2217610,683911,1533699
01/2015,123032,2200684,653615,1547069
12/2014,121974,2409415,729366,1680049
11/2014,202770,2471871,762586,1709285
10/2014,362312,3366776,905306,2461470
09/2014,401217,3798291,960245,2838046
08/2014,583416,4242629,996501,3246128
07/2014,414209,4024657,1014074,3010583
06/2014,377107,3715115,947754,2767361
05/2014,321479,3395590,889532,2506058
04/2014,283029,3177528,876871,2300657
03/2014,167022,2699420,834057,1865363
02/2014,96031,2138920,684804,1454116
01/2014,128862,2099300,669682,1429618
12/2013,139928,2305275,739138,1566137
11/2013,228906,2382364,763758,1618606
10/2013,363444,3117870,862987,2254883
09/2013,411206,3524996,899504,2625492
08/2013,564588,3905836,970107,2935729
07/2013,468396,3838940,1019586,2819354
06/2013,398980,3493501,939489,2554012
05/2013,373763,3217057,908704,2308353
04/2013,299905,2867791,863277,2004514
03/2013,161158,2540783,796304,1744479
02/2013,89493,2011614,689149,1322465
01/2013,108690,1996823,717763,1279060
12/2012,132128,2189372,794402,1394970
11/2012,195692,2278702,793615,1485087
10/2012,366315,3052708,937589,2115119
09/2012,437139,3496499,1034781,2461718
08/2012,528621,3873274,1107945,2765329
07/2012,443875,3823603,1143617,2679986
06/2012,381250,3402002,1064995,2337007
05/2012,337597,3153512,1035026,2118486
04/2012,297340,2994217,953132,2041085
03/2012,131177,2604982,939819,1665163
02/2012,76510,2099903,778723,1321180
01/2012,95381,2162324,832991,1329333
12/2011,110643,2424629,961147,1463482
11/2011,200598,2465588,990213,1475375
10/2011,384434,3063865,1054044,2009821
09/2011,451732,3337783,1143022,2194761
08/2011,654586,3622782,1177896,2444886
07/2011,555189,3606358,1206310,2400048
06/2011,386254,3233726,1130441,2103285
05/2011,394311,3071512,1104299,1967213
04/2011,336458,2878553,1066427,1812126
03/2011,142327,2591352,1087151,1504201
02/2011,85663,2085091,886381,1198710
01/2011,99422,2005395,824004,1181391
12/2010,126140,2074851,874854,1199997
11/2010,183619,2319644,983292,1336352
10/2010,355248,2798176,1061899,1736277
09/2010,405573,2836908,1047883,1789025
08/2010,585831,3042550,1043019,1999531
07/2010,451662,2973359,1074878,1898481
06/2010,383959,2629043,992941,1636102
05/2010,363525,2510841,986651,1524190
04/2010,288875,2227708,952572,1275136
03/2010,141502,2284457,1005543,1278914
02/2010,69281,1827222,853167,974055
01/2010,83510,1672323,736882,935441
12/2009,110757,1923633,859543,1064090
11/2009,226738,2014531,903513,1111018
10/2009,287602,2368970,955910,1413060
09/2009,380560,2510813,971040,1539773
08/2009,532897,2886829,1053753,1833076
07/2009,424076,2827945,1098381,1729564
06/2009,330362,2499007,1001567,1497440
05/2009,322005,2387682,920088,1467594
04/2009,273254,2391529,952243,1439286
03/2009,146232,2096934,942975,1153959
02/2009,77088,1763913,821342,942571
01/2009,90125,1622370,711948,910422
12/2008,110235,1839638,823833,1015805
11/2008,222240,1934113,870882,1063231
10/2008,329095,2471006,1003506,1467500
09/2008,387725,2675943,1011301,1664642
08/2008,547108,3120753,1125310,1995443
07/2008,416824,3049808,1182954,1866854
06/2008,390185,2804621,1151439,1653182
05/2008,349936,2756887,1131640,1625247
04/2008,225302,2584519,1144498,1440021
03/2008,157687,2618852,1177783,1441069
02/2008,40915,2243267,1127900,1115367
01/2008,59724,2070256,1020194,1050062
12/2007,115347,2205865,1073734,1132131
11/2007,174303,2439535,1202518,1237017
10/2007,295483,2944555,1327961,1616594
09/2007,324388,3092344,1334411,1757933
08/2007,513759,3400105,1376832,2023273
07/2007,398910,3309086,1431149,1877937
06/2007,327710,3003091,1378312,1624779
05/2007,290265,2876168,1372075,1504093
04/2007,232550,2732373,1218619,1513754
03/2007,113879,2550643,1271347,1279296
02/2007,38461,2144896,1093126,1051770
01/2007,47837,2006786,1003958,1002828
12/2006,77983,2159589,1104143,1055446
11/2006,121919,2257023,1198676,1058347
10/2006,265345,2709654,1274853,1434801
09/2006,310173,2787000,1253783,1533217
08/2006,500818,2987144,1276225,1710919
07/2006,383959,2846445,1259571,1586874
06/2006,272854,2747455,1314813,1432642
05/2006,239215,2686757,1302706,1384051
04/2006,204867,2580541,1194398,1386143
03/2006,84274,2330814,1221031,1109783
02/2006,34682,1928734,1024135,904599
01/2006,38121,1814557,945904,868653
